country,sub_network,electricity demand (MW)
AL,0,0.002092582964602812
AT,0,0.02155445599094459
BA,0,0.0035987469032862144
BE,0,0.026773480688541733
BG,0,0.011281706021583711
CH,0,0.014567489167848478
CZ,0,0.019508111047982765
DE,0,0.1579745587183741
DK,0,0.0046856957375817024
DK,1,0.0052018595980892965
EE,0,0.0024606892887605
ES,0,0.07271890042186224
ES,6,0.0037264743024588826
FI,1,0.026075891671772614
FR,0,0.15063652946689166
FR,5,0.0020740601655172518
GB,2,0.10031680022071424
GB,3,0.003975431988387431
GR,0,0.014411789457726138
HR,0,0.005299972712389036
HU,0,0.012109616784204653
IE,3,0.008016018594713277
IT,0,0.09487561868619847
IT,4,0.0031766411973377755
LT,0,0.0032808751489016175
LU,0,0.0018451396447023206
LV,0,0.002277285796328433
ME,0,0.0010646474723224931
MK,0,0.002504085999051263
NL,0,0.035355772838034386
NO,1,0.03975867910124348
PL,0,0.045444782148380845
PT,0,0.015235366522905632
RO,0,0.015708549346820064
RS,0,0.01231163715064312
SE,1,0.043306979562590595
SI,0,0.003963859339818999
SK,0,0.008640482637333516
XK,0,0.0021887354931538774
