id;name;active;length;i_max;v_ref;r;x;c;comm;decomm;scenario;from_node;to_node;s_max;type;references;geometry
14001.0;182/1;1;5.36;1077.0;110.0;0.0557;0.3824;0.0;2024-01-01;2100/01/01;AUT;14001.0;14003.0;205.19605917268487;;;LINESTRING (377942.1076980555 480212.21295696654, 377943.9056279718 480127.741595645, 378083.366653342 480167.9575830929, 378321.86868655705 480331.9170768452, 378564.03632272873 480498.41840223887, 378809.8763110549 480667.450881975, 379049.6774318768 480832.34732443583, 379299.15254464315 481003.9108651144, 379555.50769762375 481180.21848813386, 379657.8581482204 481423.34104389464, 379773.09048893495 481697.0908324816, 379923.7573868675 481934.6777041802, 380095.35800845514 482205.30106073193, 380267.5399429111 482476.87263551075, 380438.6977349648 482746.8300327683, 380596.46174698585 482995.6831801499, 380768.68615612795 483267.37022968795, 380923.4286811337 483511.484924676, 381091.9411593523 483763.82119120396, 381233.8223150056 484001.20282049244, 381248.53270367975 484056.3602990818)
14002.0;182/2;1;5.34;1077.0;110.0;0.0557;0.3824;0.0;2024-01-01;2100/01/01;AUT;14001.0;14003.0;205.19605917268487;;;LINESTRING (381270.4640343237 484013.96638773987, 381233.8223150056 484001.20282049244, 381091.9411593523 483763.82119120396, 380923.4286811337 483511.484924676, 380768.68615612795 483267.37022968795, 380596.46174698585 482995.6831801499, 380438.6977349648 482746.8300327683, 380267.5399429111 482476.87263551075, 380095.35800845514 482205.30106073193, 379923.7573868675 481934.6777041802, 379773.09048893495 481697.0908324816, 379657.8581482204 481423.34104389464, 379555.50769762375 481180.21848813386, 379299.15254464315 481003.9108651144, 379049.6774318768 480832.34732443583, 378809.8763110549 480667.450881975, 378564.03632272873 480498.41840223887, 378321.86868655705 480331.9170768452, 378083.366653342 480167.9575830929, 377943.9056279718 480127.741595645, 377902.39961565594 480200.3829178104)
14003.0;182/7;1;6.22;470.0;110.0;0.169;0.4035;0.0;2024-01-01;2100/01/01;AUT;14003.0;14001.0;89.54702675131095;;;LINESTRING (378019.55221694463 480229.4337880553, 378092.0878727795 480187.2337127605, 378236.69783826364 480504.67222787865, 378136.4178361258 480832.9312833288, 378036.7654892332 481159.1668493155, 377936.75775286305 481486.5843046699, 377709.5759549971 481727.74473494175, 377710.0427466166 481938.33825722523, 377710.4947888513 482145.1523032033, 377876.7213321071 482255.22762427304, 378098.1774233471 482375.30045321246, 378319.89211847127 482495.5142156977, 378593.28909406974 482643.77868852136, 378839.8268509871 482777.4817141761, 379086.7549427953 482911.41619896697, 379354.83018141956 483056.83489943494, 379617.87773228146 483199.538235649, 379877.7283390979 483340.51955798967, 380166.84464084054 483497.4076069205, 380429.9560573578 483640.1923021214, 380715.53903644375 483795.1968651697, 380931.6183068013 483912.48432854266, 381158.6586662457 484035.73553574586, 381223.1867113711 484087.4931422266)
14004.0;184/1;1;5.83;470.0;110.0;0.169;0.4035;0.0;2024-01-01;2100/01/01;AUT;14001.0;14002.0;89.54702675131095;;;LINESTRING (381223.1867113711 484087.4931422266, 381158.6586662457 484035.73553574586, 380931.6183068013 483912.48432854266, 380715.53903644375 483795.1968651697, 380429.9560573578 483640.1923021214, 380166.84464084054 483497.4076069205, 379877.7283390979 483340.51955798967, 379617.87773228146 483199.538235649, 379354.83018141956 483056.83489943494, 379086.7549427953 482911.41619896697, 378839.8268509871 482777.4817141761, 378593.28909406974 482643.77868852136, 378319.89211847127 482495.5142156977, 378098.1774233471 482375.30045321246, 377876.7213321071 482255.22762427304, 377709.3822664476 482164.51090313087, 377389.01127010747 482272.69320548774, 377107.0964302781 482367.8990335029, 376850.9308661397 482454.4320007884, 376563.73166477744 482551.46464085043, 376322.41283529095 482633.00213476835, 376050.881257471 482722.23591883865, 375988.1333956222 482751.41587247496)
11030.0;127-9;1;16.189;470.0;110.0;0.2024;0.4329;6.0483;2024-01-01;2365/01/01;BGL;11002.0;11005.0;89.5;;;LINESTRING (666823.4203998836 444499.1819346261, 666780.9560630678 444543.2873608982, 666461.7246660325 444628.8226157289, 666142.4262636848 444716.38586556824, 665830.8318582752 444800.4908659733, 665593.8915763688 445042.60667602526, 665143.5131054074 445501.32181184023, 664667.0565306608 445986.67631006055, 664849.5939679866 446959.62605330907, 665035.4488877784 447962.079801232, 665158.2404924002 448621.19552822254, 665280.5117882947 449275.8752455938, 665343.9216680999 449615.40472280857, 665404.0152855135 449937.23687164806, 665465.9475017427 450268.9237425672, 665527.0054003508 450595.9765132025, 665589.5221292645 450930.8639019443, 665579.8698351573 451238.28385291924, 665568.3002738202 451529.87167577905, 665552.8022357012 451967.2219008855, 665535.8471092668 452445.57585215336, 665521.5357523803 452849.589196995, 665506.3851280005 453277.0092983834, 665494.7949667216 453604.004098604, 665486.7793004268 453830.2917138748, 665484.5991066745 453891.8400402266, 665467.9783385557 454360.68702215294, 665246.6338927987 454598.9569574754, 665029.2544449632 454832.98717952025, 664808.4333109146 455070.7289614421, 664581.9614510199 455314.5744079536, 664355.5792150814 455558.34308338334, 664138.0137558095 455789.6472868822, 663931.3615933728 455973.3533620157, 663716.013581567 456161.6782261339, 663482.8237351738 456365.6126146236, 663239.0334597232 456578.84428408917, 662965.8743301702 456817.7705447896, 662663.031655683 456881.506459378, 662384.6846715612 456941.20279943524, 662040.7822588158 457015.0195264487, 661744.3716590408 457077.8690522052, 661697.9507499372 457079.079540919)
11041.0;Oberpullendorf-Rotenturm-2;1;42.0;696.0;110.0;;;;2026-01-01;2365/01/01;BGL;11013.0;11020.0;132.606;253/23 AlStalum 110.0;NEP Netz Burgenland, NEB 24-06, Stand 30.09.2024;LINESTRING (637690.7445809187 404281.9715862769, 637631.7745300859 404276.44106931146, 636217.7873410858 405339.1669536062, 635764.3054520718 405367.3484350854, 634485.941280806 403925.0914213666, 632841.0531163786 403805.89662685106, 631494.1519382593 403507.90964054386, 628776.5106231174 403323.157709033, 628590.841804655 402913.95941487345, 628596.7600338301 402257.1478113632, 627976.3422489765 401934.7453722918, 627160.9471786765 401646.6793963736, 625379.4851335738 398590.18620235956, 625047.1699628099 397731.0799695636, 624525.7978974136 397534.3636700788, 623806.760851348 396792.31598335627, 623900.0726139056 395702.2359586306, 624718.7258506157 394277.9516484893, 625010.2556573732 390767.36416974326, 623697.0667827609 389680.77820721455, 623190.2793415433 388289.15228226647, 621612.8400393724 387063.6620062379, 621305.9430274791 384855.64154100535, 621652.867338936 383251.22569908045, 621816.1163754843 382393.2570106192, 622532.2810910221 381292.3410091637, 623562.0654456262 379677.3831372536, 624019.4938196619 378951.46334834304, 624243.5707217661 378262.76337667706, 622933.1723482569 376628.32841767167, 622825.3931809188 376634.03685266775)
11042.0;Frauenkirchen-Wallern-2;1;15.0;470.0;110.0;;;;2025-01-01;2365/01/01;BGL;11005.0;11026.0;98.547;133/21 AlStalum 110.0;NEP Netz Burgenland, NEB 24-01, Stand 30.09.2024, Umstellung bestehende Mittelspannungsleitung auf 110 kV?;LINESTRING (666869.1089380624 444453.38419285056, 666707.1850057908 444304.5011141847, 666711.1697110591 443706.4330779865, 667119.7831240398 443342.7381607588, 667734.8767191118 442788.8641284472, 667956.57123041 442585.28191382374, 668368.8071027258 442217.96453726105, 668560.6163245105 442047.89007148583, 668765.4663999013 441960.9510474472, 669009.9824050092 441859.8844320025, 669770.8799883127 441538.9345349272, 670032.0593063615 441430.26075487904, 670264.0778267639 441334.8089514033, 670443.7518097768 441073.9918792879, 671162.0854958947 440057.1675439713, 671345.019692309 439803.4142675589, 671692.6852269793 439305.14498603815, 672025.6798013435 438826.70866937656, 671921.2624110137 438528.12745869433, 671824.4069045458 438243.6738394189, 671646.7931952797 437699.2861224907, 671350.9288290989 436858.83027604397, 671248.9113180788 436559.16232756147, 671169.8511430937 436331.898285036, 671076.7992189273 436057.4969904145, 670923.2975046096 435802.79281842697, 670777.4029548953 435543.6058530121, 670626.2105584036 435284.55472982244, 670184.0441158331 434520.8497405347, 670040.59472617 434273.0735220252, 669915.8915635647 434058.7144908804, 670414.9532580654 432740.1619333352)
11025.0;126-8;1;27.517;654.0;110.0;0.1126;0.42;4.2;2024-01-01;2029/01/01;BGL;11007.0;11002.0;124.6;;;LINESTRING (640441.0031539202 443226.4207761235, 640469.807180306 443266.0585356608, 640760.2816862362 443185.0515669991, 641061.3716900455 443101.1168587498, 641366.7831244211 443015.9750164259, 641658.787566409 442935.4202939319, 641948.3903096353 442854.84674982575, 642238.1782396603 442772.20355823473, 642508.448041431 442802.5786215473, 642771.8620004272 442832.25743858813, 643035.759079338 442862.88071765576, 643333.4203720666 442894.5281100823, 643647.7554608365 442930.5605622016, 643955.1078103258 443039.975460346, 644260.8127521761 443149.4936610581, 644568.8205749225 443258.14627410535, 644879.8433246692 443368.4111518143, 645172.5358967631 443473.3702259611, 645458.1364781678 443584.84256365447, 645757.4133688041 443702.78141944244, 646059.4924597857 443819.7200194845, 646354.2481146362 443936.2088282938, 646641.828805018 444049.81659481477, 646940.4842282218 444166.2011849001, 647160.8426014999 444412.47536826914, 647380.2101844214 444657.6597943318, 647600.9813343922 444904.4373744914, 647827.5368643494 445157.7010391202, 648044.86151041 445400.6568715247, 648265.1117597207 445646.9062996693, 648483.0709319807 445890.61950343027, 648703.9051506666 446137.56881485303, 648751.9715579561 446435.87334008265, 648800.0392155686 446734.1787801274, 648848.0578612813 447032.2604745633, 648894.1929575837 447318.6028721129, 648941.4211916646 447611.7905612261, 648989.8796980759 447912.6305123066, 649037.6114115806 448208.9788645923, 649088.4480237309 448524.5748226298, 649349.4380915798 448723.7243335763, 649626.4371852762 448935.10034741624, 649887.8185193993 449134.5819010736, 650155.3466778131 449338.7798889337, 650421.1396543334 449541.6702337918, 650687.0012410176 449744.6322287929, 650951.4829945101 449946.55749273114, 651218.3435687436 450150.3230643559, 651407.4179801263 450394.58111383196, 651595.278487382 450637.3027279914, 651786.9634584561 450884.95890810376, 651981.2094068759 451135.9598997861, 652177.4571878632 451389.5585355289, 652370.5922678725 451639.16876342875, 652564.0724975963 451889.22410372645, 652753.0892482598 452133.5295267884, 652950.8121292638 452389.11354925606, 653184.7843643802 452597.94341299374, 653417.6532280517 452805.8008061394, 653650.8359314045 453013.97136765515, 653884.743731178 453222.7957811953, 654117.0514300376 453430.21416836017, 654350.3934678497 453638.56697345985, 654582.6614877223 453845.9705575619, 654817.5812978373 454055.7815513579, 655051.6933468031 454264.8775946669, 655320.1816920328 454452.6761071339, 655596.7172100183 454646.1383623206, 655868.2672822708 454836.12377571285, 656138.8352462507 455025.44522095844, 656413.1488656357 455217.4156883028, 656686.6766593251 455408.8423150355, 656962.3471981494 455601.7906567544, 657227.5382731168 455787.42344430106, 657532.7514099474 455900.6985351726, 657845.5393361658 456018.71065377543, 658156.8733276022 456134.7061354206, 658468.7964354034 456251.8244114523, 658769.8459721947 456364.46951111074, 659082.5991873435 456480.7465616154, 659384.8294690673 456594.2562557463, 659630.5390967592 456684.72399252444, 659915.6739976668 456789.1968120038, 660189.2413997147 456889.59365778556, 660473.9479805996 456993.38577503414, 661017.7411676194 457193.0843466307, 661185.3912417263 457174.8378195289, 661443.4500947667 457146.4607487911, 661497.2934694699 457126.80070484476)
14005.0;184/2;1;5.83;470.0;110.0;0.169;0.4035;0.0;2024-01-01;2100/01/01;AUT;14001.0;14002.0;89.54702675131095;;;LINESTRING (375988.1333956222 482751.41587247496, 376050.881257471 482722.23591883865, 376322.41283529095 482633.00213476835, 376563.73166477744 482551.46464085043, 376850.9308661397 482454.4320007884, 377107.0964302781 482367.8990335029, 377389.01127010747 482272.69320548774, 377709.3822664476 482164.51090313087, 377876.7213321071 482255.22762427304, 378098.1774233471 482375.30045321246, 378319.89211847127 482495.5142156977, 378593.28909406974 482643.77868852136, 378839.8268509871 482777.4817141761, 379086.7549427953 482911.41619896697, 379354.83018141956 483056.83489943494, 379617.87773228146 483199.538235649, 379877.7283390979 483340.51955798967, 380166.84464084054 483497.4076069205, 380429.9560573578 483640.1923021214, 380715.53903644375 483795.1968651697, 380931.6183068013 483912.48432854266, 381158.6586662457 484035.73553574586, 381223.1867113711 484087.4931422266)
14118.0;153/12;1;1.39;2000.0;110.0;0.0243;0.315;0.0;2024-01-01;2100/01/01;AUT;14057.0;14094.0;381.051177665153;;;LINESTRING (474889.0510426666 485747.86236124876, 474868.6270329874 485767.2730203427, 474873.5796055651 485876.31525231164, 474940.0040227881 486081.8969681869, 475058.2520452833 486222.51006627054, 475187.21874791087 486379.43668151955, 475297.01742468245 486506.7049514756, 475347.5422285004 486677.4616613279, 475187.1759302808 486861.46329150285, 475147.5553496598 486898.45772412885, 475145.2951702068 486903.16894865857)
11032.0;Frauenkirchen-Wallern-1;1;15.0;470.0;110.0;;;;2025-01-01;2365/01/01;BGL;11005.0;11026.0;98.547;133/21 AlStalum 110.0;NEP Netz Burgenland, NEB 24-01, Stand 30.09.2024, Umstellung bestehende Mittelspannungsleitung auf 110 kV?;LINESTRING (666869.1089380624 444453.38419285056, 666707.1850057908 444304.5011141847, 666711.1697110591 443706.4330779865, 667119.7831240398 443342.7381607588, 667734.8767191118 442788.8641284472, 667956.57123041 442585.28191382374, 668368.8071027258 442217.96453726105, 668560.6163245105 442047.89007148583, 668765.4663999013 441960.9510474472, 669009.9824050092 441859.8844320025, 669770.8799883127 441538.9345349272, 670032.0593063615 441430.26075487904, 670264.0778267639 441334.8089514033, 670443.7518097768 441073.9918792879, 671162.0854958947 440057.1675439713, 671345.019692309 439803.4142675589, 671692.6852269793 439305.14498603815, 672025.6798013435 438826.70866937656, 671921.2624110137 438528.12745869433, 671824.4069045458 438243.6738394189, 671646.7931952797 437699.2861224907, 671350.9288290989 436858.83027604397, 671248.9113180788 436559.16232756147, 671169.8511430937 436331.898285036, 671076.7992189273 436057.4969904145, 670923.2975046096 435802.79281842697, 670777.4029548953 435543.6058530121, 670626.2105584036 435284.55472982244, 670184.0441158331 434520.8497405347, 670040.59472617 434273.0735220252, 669915.8915635647 434058.7144908804, 670414.9532580654 432740.1619333352)
