bus0,bus1,type,x,r,g,b,s_nom,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,active,build_year,lifetime,length,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,dc,i_nom,v_nom,country,country_bus1
AT0 13,DE0 8,Al/St 240/40 4-bundle 380.0,19.366415304437595,2.361757963955804,0.0,0.001365221390318217,3396.205223481055,0.0,True,3396.2052234810553,23396.205223481054,0.7,6629.372251791948,True,0,inf,157.45053093038698,AC,1.0,2.0000000000000004,-inf,inf,,0.0,0.0,0.0,0.0,0.00013411644947671465,1.6355664570331053e-05,3396.2109604583393,0.0,2.58,380.0,AT,DE
AT0 14,HU0 0,Al/St 240/40 4-bundle 380.0,21.897013804072913,2.6703675370820625,0.0,0.0025666325772726703,4379.31726185715,0.0,True,4379.31726185715,24379.317261857148,0.7,9666.642911668028,True,0,inf,229.55791108249312,AC,1.0,2.578947368421053,-inf,inf,,0.0,0.0,0.0,0.0,0.00015164136983429995,1.8492849979792677e-05,4855.415978778046,0.0,2.58,380.0,AT,HU
AT0 18,CH0 0,Al/St 240/40 4-bundle 380.0,53.47974014520286,6.521919529902788,0.0,0.0009425038661925347,1698.1026117405274,0.0,True,1698.1026117405277,21698.102611740527,0.7,9152.631462812305,True,0,inf,217.39731766342632,AC,1.0,1.0000000000000002,-inf,inf,,0.0,0.0,0.0,0.0,0.00037035831125486747,4.516564771400823e-05,1698.1029441208711,0.0,2.58,380.0,AT,CH
AT0 18,IT0 4,Al/St 240/40 4-bundle 380.0,157.73157079308356,19.235557413790676,0.0,0.0002329328054643127,491.5560191880474,0.0,True,491.5560191880474,20491.556019188047,0.7,7815.0467793553935,True,0,inf,185.60625574710303,AC,1.0,0.2894736842105263,-inf,inf,,0.0,0.0,0.0,0.0,0.0010923238974590275,0.00013321023139744237,972.5208424657808,0.0,2.58,380.0,AT,IT
AT0 24,CZ0 0,Al/St 240/40 4-bundle 380.0,91.41393697069539,11.148041093987244,0.0,0.0005399884040983793,983.1120383760948,0.0,True,983.1120383760948,20983.112038376094,0.7,9060.587699031481,True,0,inf,215.13763514712224,AC,1.0,0.5789473684210527,-inf,inf,,0.0,0.0,0.0,0.0,0.0006330605053372257,7.72025006508812e-05,983.1123287505295,0.0,2.58,380.0,AT,CZ
AT0 25,CZ0 0,Al/St 240/40 4-bundle 380.0,27.226084825922886,3.320254247063766,0.0,0.0019192884871868346,3396.21,0.0,True,3396.21,23396.21,0.7,9320.625479458482,True,2022,inf,221.3505944508742,AC,1.0,2.000002812856486,-inf,inf,,0.0,0.0,0.0,0.0,0.00018854629380833022,2.2993450464430512e-05,3396.210958593509,,2.58,380.0,AT,CZ
AT0 28,DE0 8,Al/St 240/40 4-bundle 380.0,57.18240392584133,6.973463893395284,0.0,0.00033778038734205793,983.1120383760948,0.0,True,983.1120383760948,20983.112038376094,0.7,5667.366123891289,True,0,inf,134.57561899534758,AC,1.0,0.5789473684210527,-inf,inf,,0.0,0.0,0.0,0.0,0.0003960000271872668,4.829268624234961e-05,983.1123926968344,0.0,2.58,380.0,AT,DE
AT0 33,DE0 9,Al/St 240/40 4-bundle 380.0,52.06479985284414,6.3493658357127005,0.0,0.0003075503486000333,983.1120383760948,0.0,True,983.1120383760948,20983.112038376094,0.7,5159.234849165555,True,0,inf,122.53162139094685,AC,1.0,0.5789473684210527,-inf,inf,,0.0,0.0,0.0,0.0,0.0003605595557676187,4.397067753263643e-05,983.1124507603254,0.0,2.58,380.0,AT,DE
AT0 36,DE0 9,Al/St 240/40 4-bundle 380.0,24.640389973276616,3.004925606497148,0.0,0.0007220485426459299,2189.658630928575,0.0,True,2189.658630928575,22189.658630928574,0.7,5439.018571044101,True,0,inf,129.15908308628096,AC,1.0,1.2894736842105265,-inf,inf,,0.0,0.0,0.0,0.0,0.00017063981975953336,2.080973411701626e-05,2189.6590921595407,0.0,2.58,380.0,AT,DE
AT0 37,IT0 4,Al/St 240/40 4-bundle 380.0,113.7915993049344,13.877024305479804,0.0,0.0001680436981074658,491.5560191880474,0.0,True,491.5560191880474,20491.556019188047,0.7,5638.982716292362,True,0,inf,133.90111171954197,AC,1.0,0.2894736842105263,-inf,inf,,0.0,0.0,0.0,0.0,0.0007880304661006537,9.610127635373825e-05,1329.2151625731806,0.0,2.58,380.0,AT,IT
